Country;HDI;Rank;x;Country.en;
Slovénie;TH;22;162;Slovenia;
Somalie;B;NA;NA;Somalia;
Soudan;B;172;163;Sudan;
Soudan du Sud;B;172;163;South Sudan;
Sri Lanka;H;91;164;Sri Lanka;
Suède;TH;8;165;Sweden;
Suisse;TH;9;166;Switzerland;
Surinam;M;104;167;Suriname;
Swaziland;M;140;168;Swaziland;
Syrie;M;115;169;Syria;
Tadjikistan;M;125;170;Tajikistan;
Taiwan;TH;;;Taiwan;
Tanzanie;B;151;171;Tanzania;
Tchad;B;185;172;Chad;
Thaïlande;M;102;173;Thailand;
Timor Oriental;M;133;174;Timor-Leste;
Togo;B;159;175;Togo;
Tonga;M;94;176;Tonga;
Trinidad et Tobago;H;68;177;Trinidad and Tobago;
Tunisie;H;93;178;Tunisia;
Turkmenistan;M;101;179;Turkmenistan;
Turquie;H;89;180;Turkey;
Ukraine;H;78;181;Ukraine;
Uruguay;H;51;182;Uruguay;
Vanuatu;M;123;183;Vanuatu;
Venezuela;H;71;184;Venezuela;
Viet Nam;M;126;185;Vietnam;
Yemen;B;160;186;Yemen;
Zambie;B;163;187;Zambia;
Zimbabwe;B;173;188;Zimbabwe;
les Falkland [ Malvinas ];TH;;;Falkland Islands  [Malvinas];
Îles Féroé;TH;;;Faroe Islands;
Guinée Française;TH;;;French Guiana;
Polynésie française;TH;;;French Polynesia;
Terres australes françaises;TH;;;French Southern Territories;
Gibraltar;TH;;;Gibraltar;
Groenland;TH;;;Greenland;
Guadeloupe;TH;;;Guadeloupe;
Guam;TH;;;Guam;
Macao;NA;;;Macao;
Martinique;TH;;;Martinique;
Mayotte;TH;;;Mayotte;
Monaco;TH;;;Monaco;
Myanmar;NA;;;Myanmar;
Nouvelle Calédonie;TH;;;New Caledonia;
Palau;NA;;;Palau;
RÃ © union;TH;;;RÃ©union;
Porto Rico;TH;;;Puerto Rico;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;South Georgia and the South Sandwich Islands;
;;;;;
;;;;;
;;;;;
;;;;;Chad
;;;;;
;;;;;Cocos (Keeling) Islands
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;CuraÃ§ao
;;;;;
;;;;;Saint BarthÃ©lemy
;;;;;
;;;;;
;;;;;
;;;;;Dominica
;;;;;Saint Martin (French part)
;;;;;Saint Pierre and Miquelon
