Course Id;Course Name;Provider;Institutions;Parent.Subject;Child.Subject;Url;Date;Length;;
359;Networks: Friends, Money, and Bytes;Coursera;Princeton University;Computer Science;NA;https://www.coursera.org/course/friendsmoneybytes;2014-09-15;NA;;
361;Intro to Statistics;Udacity;Stanford University;Mathematics;Statistics & Probability;https://www.udacity.com/course/intro-to-statistics--st101?utm_medium=referral&utm_campaign=api;Self paced;8;;
363;Intro to Physics;Udacity;NA;Science;Physics;https://www.udacity.com/course/intro-to-physics--ph100?utm_medium=referral&utm_campaign=api;Self paced;8;;
364;Intro to Algorithms;Udacity;NA;Computer Science;Theoretical Computer Science;https://www.udacity.com/course/intro-to-algorithms--cs215?utm_medium=referral&utm_campaign=api;Self paced;16;;
365;Software Testing;Udacity;University of Utah;Programming;NA;https://www.udacity.com/course/software-testing--cs258?utm_medium=referral&utm_campaign=api;Self paced;4;;
366;Learning from Data (Introductory Machine Learning course);;California Institute of Technology;Computer Science;Artificial Intelligence;http://work.caltech.edu/telecourse.html;Self paced;10;;
367;CS-191x: Quantum Mechanics and Quantum Computation;Coursera;NA;Science;Physics;https://www.coursera.org/course/qcomp;;9;;
368;Rationing and Allocating Scarce Medical Resources;Coursera;University of Pennsylvania;Humanities;Philosophy;https://www.coursera.org/course/rationing;2013-05-20;NA;;
369;Neuroethics;Coursera;University of Pennsylvania;Humanities;Philosophy;https://www.coursera.org/course/neuroethics;2013-09-30;NA;;
370;Introduction to Mathematical Thinking;Coursera;Stanford University;Mathematics;Foundations of Mathematics;https://www.coursera.org/course/maththink;2015-09-21;10;;
371;Design: Creation of Artifacts in Society;Coursera;University of Pennsylvania;Art & Design;Design & Creativity;https://www.coursera.org/course/design;2015-04-20;8;;
372;Introduction to Operations Management;Coursera;Wharton School of the University of Pennsylvania;Business & Management;Management & Leadership;https://www.coursera.org/course/whartonoperations;2015-06-01;4;;
373;Machine Learning;Coursera;University of Washington;Computer Science;Artificial Intelligence;https://www.coursera.org/course/machlearning;NA;NA;;
374;Algorithms: Design and Analysis, Part 1;Coursera;Stanford University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/algo;2015-01-19;6;;
375;Computer Science 101;Coursera;Stanford University;Computer Science;NA;https://www.coursera.org/course/cs101;Self paced;NA;;
376;Automata;Coursera;Stanford University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/automata;2014-09-01;6;;
378;Bioelectricity: A Quantitative Approach;Coursera;Duke University;Science;Biology;https://www.coursera.org/course/bioelectricity;2014-08-25;NA;;
379;Healthcare Innovation and Entrepreneurship;Coursera;Duke University;Business & Management;Entrepreneurship;https://www.coursera.org/course/healthcareinnovation;2014-04-21;6;;
380;Introductory Human Physiology;Coursera;Duke University;Science;Biology;https://www.coursera.org/learn/physiology;Self paced;NA;;
381;Introduction to Genetics and Evolution;Coursera;Duke University;Science;Biology;https://www.coursera.org/course/geneticsevolution;2015-01-01;NA;;
382;Introduction to Astronomy;Coursera;Duke University;Science;Astronomy;https://www.coursera.org/course/introastro;2014-12-01;NA;;
383;Think Again: How to Reason and Argue;Coursera;Duke University;Humanities;Philosophy;https://www.coursera.org/course/thinkagain;2015-01-05;12;;
384;Medical Neuroscience;Coursera;Duke University;Science;Biology;https://www.coursera.org/course/medicalneuro;2015-01-05;12;;
385;Learn to Program: The Fundamentals;Coursera;University of Toronto;Programming;NA;https://www.coursera.org/course/programming1;2013-08-19;10;;
386;Data Analysis;Coursera;Johns Hopkins University;Computer Science;Data Science and Big Data;https://www.coursera.org/course/dataanalysis;2013-10-28;8;;
387;Principles of Obesity Economics;Coursera;Johns Hopkins University;Social Sciences;Economics;https://www.coursera.org/course/obesityecon;NA;NA;;
388;Computing for Data Analysis;Coursera;Johns Hopkins University;Computer Science;Data Science and Big Data;https://www.coursera.org/course/compdata;2014-01-06;4;;
389;Clinical Problem Solving;Coursera;University of California, San Francisco;Health & Medicine;Health Care & Research;https://www.coursera.org/course/clinprobsolv;2015-01-26;6;;
390;Learn to Program: Crafting Quality Code;Coursera;University of Toronto;Programming;NA;https://www.coursera.org/course/programming2;2013-03-25;10;;
391;Nutrition for Health Promotion and Disease Prevention;Coursera;University of California, San Francisco;Health & Medicine;Nutrition & Wellness;https://www.coursera.org/course/nutrition;2014-02-24;NA;;
393;Contraception: Choices, Culture and Consequences;Coursera;University of California, San Francisco;Health & Medicine;Health Care & Research;https://www.coursera.org/course/contraception;2013-09-09;NA;;
394;Aboriginal Worldviews and Education;Coursera;University of Toronto;Education & Teaching;NA;https://www.coursera.org/course/aboriginaled;2013-02-25;4;;
